,V1,V2,Class
0,1.1036090346235408,-1.7763683823302716,2
1,1.2118394741191023,-0.37791073215184845,2
2,0.7286736470067363,-0.09062797135626632,0
3,-0.7925210787955694,-1.15723384883024,1
4,1.7373649814950398,-1.097094668988658,2
5,1.71096057398639,-1.481879835354119,2
6,-0.352796318958563,0.1724402840205137,0
7,-0.9381005071068501,-1.1608515434190756,1
8,-1.2481270628519412,-1.8369689132164542,1
9,1.9590312191669286,1.0718424836250935,0
10,-0.18685074416183212,1.868067349923287,0
11,-0.8664431439233479,-1.2712685237040073,1
12,0.4969012892706278,1.677845885495799,0
13,-1.8033780215094286,-1.2002159814074695,1
14,0.7613221051964144,1.532052810040689,0
15,-0.2486246784615932,-1.6597924978092782,1
16,1.4476970522535775,2.001990753093887,0
17,-0.8151596718563285,0.6180961991922709,1
18,0.6781797259410496,-0.8711820641609322,2
19,-0.1707357038001479,-0.49591794790028776,1
20,1.5354481554531476,0.3414850516924208,0
21,-1.0704834405590808,-0.8256897169779938,1
22,1.9746296584054026,-1.0191245171858239,2
23,1.212699566105609,1.357788160045597,0
24,-1.1918490783427331,-0.7544773020843552,1
25,-0.3915279075694671,-0.8385860376082893,2
26,1.1999512137948287,-1.3438618677765737,2
27,1.1237556117620784,-2.1135234798277684,2
28,-0.3917525071096347,-1.2792395125723495,1
29,1.3596781984086037,0.9914584873225329,0
30,-1.119553999856212,-1.367490329371348,1
31,1.4947750388370336,1.9729900175005202,0
32,1.4990868104161195,1.1490513265533882,0
33,0.54969377353843,0.7290860526392182,0
34,-1.0011177652541214,-1.516291045373104,1
35,-0.7414135663258205,-1.750731008862763,1
36,1.3572215606970621,0.14784133032073288,0
37,-0.6785656530924259,-0.7711171820426096,1
38,0.6138211780983143,2.1321368282512374,0
39,0.5191187325868067,0.9131961052791566,0
40,1.6543408754986344,-1.8441484837777846,2
41,0.3313602025615693,-0.3106321655819815,0
42,0.9194303947069762,0.5505334429216597,2
43,-1.5254785734660654,-0.5627860523038448,1
44,0.7681520147598406,-0.748266713369572,2
45,1.2906126170247667,-1.269450665505742,2
46,0.42477149257830016,0.15927896218058235,2
47,0.09816025741503287,0.3130695473237909,0
48,1.4057540975972962,0.3003821359307616,0
49,-0.7823948246206166,-1.0561483059032,1
50,1.9074929789907422,-1.5891246477252319,2
51,2.074412121908101,0.10708579882949198,0
52,0.5941414228950801,1.593158290337116,0
53,-0.6007022100184829,-1.4069359339808847,1
54,1.1264513200953366,0.9180206434645328,0
55,0.2876269209268244,0.9485395863142557,0
56,-0.6232495216677392,-1.0099573389318512,1
57,-0.9883912646684435,-2.3294503487742304,1
58,-1.4965634845066758,-1.1343367018466468,1
59,-2.1916063540805313,-1.175297171787592,1
60,0.6631694139306397,1.3359348200183703,0
61,1.3363799796203013,2.6541145240571744,0
62,-0.5471494700634358,-0.7916289165175634,1
63,1.38580315417172,-1.0077072784949224,2
64,0.13020500313872485,-0.651239038581187,2
65,-1.0940696092379867,-1.511866980384844,1
66,-1.72372361609229,-0.47993222835509275,1
67,0.665801291265987,-0.9245999961992737,2
68,-2.0161374278447424,-1.6399646541920707,1
